DateTime,Link,Company,Fraud_Type,Impact_USD,Description,Country
2024-02-16,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202402160001&dtable=NewsLaw","Union Securities Investment Trust Co., Ltd.",Securities investment trust compliance violations,"NT$600,000","The president engaged in unapproved businesses and staff lacked required qualifications or acted outside scope, violating SITE/SICE regulations.",Taiwan
2024-02-05,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202403260001&dtable=NewsLaw","Tachan Securities Co., Ltd.",Multiple compliance and internal control violations,"NT$540,000","Audit found unauthorized phone orders, inadequate conflict-of-interest controls, weak remote access standards, and poor personal data governance.",Taiwan
2024-02-05,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202403080001&dtable=NewsLaw","SinoPac Securities Co., Ltd.; XX Chang",Improper discretionary trading and password acceptance,"NT$480,000","Associate accepted client passwords and traded US/overseas products with full discretion and failed to follow instructions, resulting in a fine and nine-month suspension.",Taiwan
2024-01-23,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202401230001&dtable=NewsLaw",Unitel High Technology Corporation; XX Shao,Board meeting minutes deficiency,"NT$240,000",Failed to prepare and record detailed board meeting minutes as required by the Securities and Exchange Act and board procedures rules.,Taiwan
2024-01-18,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202401180002&dtable=NewsLaw","Grand Fortune Securities Co., Ltd.",AML and internal control violations,"NT$1,100,000","Deficiencies in AML controls, customer monitoring, governance, and record-keeping showed failure to implement effective internal controls.",Taiwan
2024-01-18,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202401180001&dtable=NewsLaw","Masterlink Securities Co., Ltd.; Wu",Futures management violation,NT$0,Associated person provided futures trading advice via a LINE group and was ordered suspended from futures business for one month.,Taiwan
2023-11-15,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202311170008&dtable=NewsLaw",Mutto Optronics Corporation,Failure to file financial statements (Q3 2023),"NT$240,000",Failed to complete the 2023 Q3 financial statements in accordance with Article 36 requirements.,Taiwan
2023-11-15,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202311170007&dtable=NewsLaw",JS INC,Failure to file financial statements (Q1 2022–Q2 2023),"NT$720,000",Failed to complete financial statements for Q1 2022 through Q2 2023 as required by the Securities and Exchange Act.,Taiwan
2023-11-08,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202311150001&dtable=NewsLaw","Capital Securities Co., Ltd.",Internal control and AML violations,"NT$980,000",Failed to implement internal controls over staff accounts and warrant risk management and failed AML customer risk grading and reviews.,Taiwan
2023-11-06,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202311100001&dtable=NewsLaw","Yuanta Futures Co., Ltd.",Futures management/internal control violation,"NT$120,000",Associate gave bullish/bearish advice to clients via LINE contrary to the firm’s internal control system.,Taiwan
2023-11-02,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202311020001&dtable=NewsLaw",Nanoplus Ltd.,Reporting/filing violation,"NT$240,000",Failed to file the September 2023 operations overview by the regulatory deadline under Article 36.,Taiwan
2023-10-26,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202310310003&dtable=NewsLaw","Hua Nan Securities Co., Ltd.",Internal control and AML violations,"NT$1,220,000","Audit found multiple control failures in customer account handling, disclosures, IP checks, statements, and AML reviews/reporting.",Taiwan
2023-10-26,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202310310002&dtable=NewsLaw","Mega Securities Co., Ltd.; XX Lin",Entrusted trading misconduct and client fund handling,"NT$240,000","Associate kept and lent client funds and handled settlements on clients’ behalf, resulting in a fine and three-month suspension.",Taiwan
2023-10-26,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202310260001&dtable=NewsLaw","CONCRAFT HOLDING CO., LTD",Loans/endorsements limits violation,"NT$240,000",Loans exceeded regulatory limits under the Regulations Governing Loaning of Funds and Making of Endorsements/Guarantees by Public Companies.,Taiwan
2023-10-25,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202310310004&dtable=NewsLaw","President Securities Co., Ltd.; XX Lu",Client funds handling and reporting violations,"NT$240,000",Associate kept client funds and the firm failed to file employee litigation declarations within the required time; two-month suspension imposed.,Taiwan
2023-10-18,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202310260002&dtable=NewsLaw","Century Wind Power Co., Ltd.; XX Lai",Related-party transactions compliance violations,"NT$240,000","Entered related-party steel purchase contracts without required audit committee/board approvals, appraisals, evaluations, and timely disclosures.",Taiwan
2023-09-21,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202309230002&dtable=NewsLaw",Zheng Certified Public Accountant,AML compliance violation,"NT$200,000",Failed to handle anti-money-laundering obligations in accordance with the Money Laundering Control Act.,Taiwan
2023-09-20,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202309230001&dtable=NewsLaw","ShengHua Entertainment Communication Co., Ltd.",Failure to file financial statements (Q1–Q2 2023),"NT$720,000",Failed to complete quarterly financial statements for Q1 and Q2 2023 as required by the Securities and Exchange Act.,Taiwan
2023-09-19,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202309190001&dtable=NewsLaw","Horizon Securities Co., Ltd.; XX Chen",Multiple conduct and internal control violations,"NT$480,000","Associate accepted discretionary orders, shared profits, disclosed orders via LINE, lent funds, and used client accounts; one-year suspension ordered.",Taiwan
2023-09-13,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202309180001&dtable=NewsLaw",LEAD DATA INC.,Restatement/filing violations,"NT$240,000",Failed to restate and complete financial statements from Q1 2019 to Q2 2023 as required by Article 36.,Taiwan
2023-09-05,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202403120001&dtable=NewsLaw","President Securities Investment Consulting Co., Ltd. (President SICE); XX Liao",SICE compliance and qualification violations,"NT$600,000",Internal controls were ineffective and the president lacked the analyst qualification to provide media investment analysis; six-month suspension ordered.,Taiwan
2023-08-31,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202309080003&dtable=NewsLaw","Cathay Futures Co., Ltd.",Futures systems/control deficiencies,"NT$600,000","Electronic ordering system had capacity, testing, SOP, and resource deficiencies contrary to required internal controls; warning also issued.",Taiwan
2023-08-21,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202309080001&dtable=NewsLaw","Concord Futures Co., Ltd.",IT/internal control deficiencies,"NT$240,000","IP control table omitted non-company computers and lacked related control measures, violating futures management rules.",Taiwan
2023-08-17,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202308170001&dtable=NewsLaw",CHUNG FU TEX-INTERNATIONAL CORPORATION,"Failure to file financial statements (2022, Q1–Q2 2023)","NT$720,000",Failed to complete 2022 and Q1–Q2 2023 financial statements in accordance with the Securities and Exchange Act.,Taiwan
2023-08-17,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202308170002&dtable=NewsLaw",Unitel High Technology Corporation,Failure to file financial statements (Q3 2022–Q2 2023),"NT$720,000",Failed to complete financial statements from Q3 2022 through Q2 2023 as required by Article 36.,Taiwan
2023-08-17,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202308170003&dtable=NewsLaw","Kaison Green Energy Technology Co., LTD",Failure to file financial statements (2022–Q2 2023),"NT$240,000",Failed to complete 2022 to Q2 2023 financial statements in accordance with the Securities and Exchange Act.,Taiwan
2023-08-08,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202308080001&dtable=NewsLaw","Hua Nan Securities Co., Ltd.; XX Yang",Securities firm conduct and reporting violations,"NT$240,000",Manager lent funds to customers and took phone orders without synchronous recording; firm failed to report within five business days; one-month suspension ordered.,Taiwan
2023-08-08,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202308080002&dtable=NewsLaw","SHIN-HU NATURAL GAS CO., LTD.",Reporting/filing violation,"NT$240,000",Failed to file the June 2023 operations overview by the regulatory deadline under Article 36.,Taiwan
2023-08-04,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202308040002&dtable=NewsLaw","FundRich Securities Co., Ltd.",Information security and internal control deficiencies,"NT$720,000",Audit found multiple information security and control weaknesses; the firm was fined and ordered to raise capital adequacy operating risk by 50%.,Taiwan
2023-07-31,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202307310001&dtable=NewsLaw",SHENMAO TECHNOLOGY INC.,Loans/endorsements rules violation,"NT$240,000",Extended a loan beyond one year in violation of the Regulations Governing Loaning of Funds and Endorsements/Guarantees by Public Companies.,Taiwan
2023-07-25,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202307250001&dtable=NewsLaw","ShengHua Entertainment Communication Co., Ltd.","Failure to file financial statements (2022, Q1 2023)","NT$480,000",Failed to complete 2022 and Q1 2023 financial statements as required by the Securities and Exchange Act.,Taiwan
2023-07-25,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202307250002&dtable=NewsLaw","Kaison Green Energy Technology Co., LTD",Internal control statement violation,"NT$240,000",Failed to complete the 2022 Internal Control System Statement as required.,Taiwan
2023-07-19,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202307190001&dtable=NewsLaw","Tai Twun Enterprise Co., Ltd.; XX Lin",Acquisition/disposal of assets compliance violation,"NT$240,000",Approved a US$6 million fund investment without obtaining a CPA opinion and contrary to internal procedures.,Taiwan
2023-07-19,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202307190002&dtable=NewsLaw",CHUNG FU TEX-INTERNATIONAL CORPORATION,"Failure to file financial statements (2022, Q1 2023)","NT$480,000",Failed to complete 2022 and Q1 2023 financial statements as required by Article 36.,Taiwan
2023-07-04,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202307040002&dtable=NewsLaw","President Futures Co., Ltd.",Reporting/filing violation,"NT$240,000",Failed to announce and report the audited 2022 annual financial report within 75 days after fiscal year-end.,Taiwan
2023-06-21,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202306200001&dtable=NewsLaw",Taiwan Land Development Corporation,Failure to file financial statements (2021–2022),"NT$720,000",Failed to complete 2021–2022 financial statements in accordance with the Securities and Exchange Act.,Taiwan
2023-06-20,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202307190003&dtable=NewsLaw",CHUNG FU TEX-INTERNATIONAL CORPORATION,"Failure to file financial statements (2022, Q1 2023)","NT$240,000",Failed to complete 2022 and Q1 2023 financial statements as required by Article 36.,Taiwan
2023-06-14,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202306140001&dtable=NewsLaw",I-SEE VISION TECHNOLOGY INC.,Financial reporting deficiency,"NT$240,000",Filed 2022 Q4 financial statements without the required accounting manager’s signature or seal.,Taiwan
2023-06-13,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202306130001&dtable=NewsLaw","JihSun Futures Co., Ltd.; Lin",Futures management and internal control violations,"NT$360,000",Associate engaged in discretionary trading and the firm failed supervision and same-IP order checks; fined and 6-month suspension.,Taiwan
2023-06-08,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202401220002&dtable=NewsLaw","Masterlink Futures Co., Ltd.; Chen",Improper custody of client banking credentials,NT$0,"Former associate kept clients’ passbooks, cards and passwords for futures accounts and was suspended for one month.",Taiwan
2023-06-07,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202401220001&dtable=NewsLaw","Cathay Futures Co., Ltd.",Systems failure and risk management deficiency,"NT$120,000",Wrong system parameters caused trading system abnormalities and the firm failed to offset positions when risk thresholds were reached.,Taiwan
2023-05-18,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202305180005&dtable=NewsLaw","ROO HSING CO., LTD",Failure to file financial statements (2022–Q1 2023),"NT$720,000",Failed to complete 2022 and Q1 2023 financial statements as required by the Securities and Exchange Act.,Taiwan
2023-05-18,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202305180004&dtable=NewsLaw",LUNG MING GREEN ENERGY TECHNOLOGY ENGINEERING,Failure to file financial statements (2022–Q1 2023),"NT$480,000",Failed to complete 2022 to Q1 2023 financial statements as required by the Securities and Exchange Act.,Taiwan
2023-05-18,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202305180003&dtable=NewsLaw","ShengHua Entertainment Communication Co., Ltd.","Failure to file financial statements (2022, Q1 2023)","NT$240,000",Failed to complete 2022 and Q1 2023 financial statements as required by the Securities and Exchange Act.,Taiwan
2023-05-18,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202305180002&dtable=NewsLaw",Unitel High Technology Corporation,Failure to file financial statements (Q3 2022–Q1 2023),"NT$720,000",Failed to complete financial statements from Q3 2022 through Q1 2023 as required by the Securities and Exchange Act.,Taiwan
2023-05-12,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202305170002&dtable=NewsLaw",EPOCH ENERGY TECHNOLOGY CORP,Failure to file financial statements (2022),"NT$240,000",Failed to complete the 2022 financial statements as required by the Securities and Exchange Act.,Taiwan
2023-05-12,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202305170001&dtable=NewsLaw",Clean Air Technology Limited,Failure to file financial statements (2022),"NT$240,000",Failed to complete the 2022 financial statements as required by the Securities and Exchange Act.,Taiwan
2023-05-04,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202305050003&dtable=NewsLaw",Taiwan Land Development Corporation,Failure to file financial statements (2021–2022),"NT$720,000",Failed to complete 2021 to 2022 financial statements as required by the Securities and Exchange Act.,Taiwan
2023-05-04,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202305050002&dtable=NewsLaw","Kaison Green Energy Technology Co., LTD",Failure to file financial statements (2022),"NT$240,000",Failed to complete the 2022 financial statements as required by the Securities and Exchange Act.,Taiwan
2023-04-19,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202305030001&dtable=NewsLaw","IBF Securities Co., Ltd.; Chang",Internal control and conduct violations,"NT$480,000","Former salesperson lent to a client and the firm failed same-IP checks and proper reviews, resulting in a fine and a two-month suspension.",Taiwan
2023-04-18,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202304260001&dtable=NewsLaw","Concord International Securities Co., Ltd.",Multiple internal control and AML deficiencies,"NT$480,000","Inspection found leasing documentation, limit verification, same-IP subscription checks, conflict-of-interest controls, and AML identity reviews were inadequately implemented.",Taiwan
2023-04-17,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202304200001&dtable=NewsLaw",Capital Futures Corp.; Chen; Deng,Futures management and internal control violations,"NT$240,000",Associates provided trading advice in LINE groups and the firm failed supervision; suspensions of two months and one month were imposed.,Taiwan
2023-04-07,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202304100005&dtable=NewsLaw",LUNG MING GREEN ENERGY TECHNOLOGY ENGINEERING,Failure to file financial statements (2022),"NT$240,000",Failed to complete the 2022 financial statements as required by the Securities and Exchange Act.,Taiwan
2023-04-07,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202304100004&dtable=NewsLaw","ShengHua Entertainment Communication Co., Ltd.",Failure to file financial statements (2022),"NT$240,000",Failed to complete the 2022 financial statements as required by the Securities and Exchange Act.,Taiwan
2023-04-07,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202304100003&dtable=NewsLaw","ROO HSING CO., LTD",Failure to file financial statements (2022),"NT$720,000",Failed to complete the 2022 financial statements as required by the Securities and Exchange Act.,Taiwan
2023-03-29,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202304100001&dtable=NewsLaw","Long Bon International Co., Ltd.; Liu",Acquisition/disposal of assets disclosure violations,"NT$240,000",Failed to announce and report share acquisitions within two days as required by asset acquisition and disposal rules.,Taiwan
2023-03-16,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202303170001&dtable=NewsLaw",Unitel High Technology Corporation,Failure to file financial statements (Q3 2022),"NT$720,000",Failed to complete the 2022 Q3 financial statements as required by the Securities and Exchange Act.,Taiwan
2023-03-14,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202303150001&dtable=NewsLaw","ROO HSING CO., LTD",Failure to file financial statements (Q2–Q3 2022),"NT$720,000",Failed to complete the 2022 Q2 and Q3 financial statements as required by the Securities and Exchange Act.,Taiwan
2023-03-07,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202303070001&dtable=NewsLaw",Taiwan Land Development Corporation,Failure to file financial statements (2021–Q2 2022),"NT$720,000",Failed to complete 2021 to Q2 2022 financial statements as required by the Securities and Exchange Act.,Taiwan
2023-02-24,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202303010002&dtable=NewsLaw",Clean Air Technology Limited,Failure to file financial statements (Q2 2022),"NT$480,000",Failed to complete the 2022 Q2 financial statements as required by the Securities and Exchange Act.,Taiwan
2023-02-22,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202302240001&dtable=NewsLaw","Horizon Securities Co., Ltd.; XX Tsai",Multiple conduct and internal control violations,"NT$240,000","Associate kept clients’ passbooks, used a client laptop, placed orders and accepted discretionary trading; firm failed internal controls; six-month suspension imposed.",Taiwan
2023-02-17,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202302220001&dtable=NewsLaw","Mega Securities Co., Ltd.; XX Liu",Multiple conduct and internal control violations,"NT$480,000","Associate held pre-signed powers of attorney, accepted LINE orders, and borrowed/lent funds with clients; firm failed internal controls; one-year suspension imposed.",Taiwan
2023-02-14,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202302170001&dtable=NewsLaw","Taisun Enterprise Co., Ltd.; XX Chan",Asset disposal and board-procedure violations,"NT$480,000",Responsible person failed to follow required asset-disposal procedures and board-meeting rules for a major share sale.,Taiwan
2023-02-13,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202302200001&dtable=NewsLaw",LUNG MING GREEN ENERGY TECHNOLOGY ENGINEERING,Failure to file financial statements (Q3 2022),"NT$240,000",Failed to complete the 2022 Q3 financial statements as required by the Securities and Exchange Act.,Taiwan
2023-02-09,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202303060002&dtable=NewsLaw","Masterlink Securities Co., Ltd.",Internal control and AML/CTF deficiencies,"NT$480,000","Failed to implement required internal controls including account opening, daily trading limit checks, same-IP reviews, and customer risk assessments.",Taiwan
2023-02-07,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202302090001&dtable=NewsLaw",Unitel High Technology Corporation,Failure to file financial statements (Q3 2022),"NT$480,000",Failed to complete the 2022 Q3 financial statements as required by the Securities and Exchange Act.,Taiwan
2023-02-03,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202302100001&dtable=NewsLaw",Unitel High Technology Corporation; XX Liu,Late disclosure of material litigation events,"NT$240,000",Responsible person failed to promptly announce and file court judgment and enforcement events that materially affected shareholders’ equity.,Taiwan
2023-02-01,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202302030001&dtable=NewsLaw","ROO HSING CO., LTD",Failure to file financial statements (Q2–Q3 2022),"NT$720,000",Failed to complete the 2022 Q2–Q3 financial statements as required by the Securities and Exchange Act.,Taiwan
2023-01-16,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202301190001&dtable=NewsLaw",Taiwan Land Development Corporation,Failure to file financial statements (2021–Q2 2022),"NT$720,000",Failed to complete 2021 to Q2 2022 financial statements as required by the Securities and Exchange Act.,Taiwan
2022-12-30,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202301170001&dtable=NewsLaw","JihSun Securities Co., Ltd.",AML/CTF internal control deficiencies,"NT$480,000",Failed to conduct timely high-risk customer reviews and handle suspicious transaction reports per internal standards.,Taiwan
2022-12-30,"https://www.fsc.gov.tw/en/home.jsp?id=95&parentpath=0,2&mcustomize=lawnew_view.jsp&dataserno=202301040001&dtable=NewsLaw","President Securities Co., Ltd.",Internal control deficiencies,"NT$240,000","Improper handling of powers of attorney, access control, and client statement confirmations showed failure to implement internal controls.",Taiwan
